smiles_canonical,smiles_raw,temperature,perplexity,vina_score,qed,mw,logp,hbd,hba,rotbonds,tpsa,lipinski_violations,pains_hits,max_tanimoto_known,novelty,z_affinity,z_qed,z_novelty,z_druglike,composite_score,on_pareto_front
C1=CCC2(C=C1)C=Nc1ccnn1C2=CC1CNC(c2ccccc2)=N1,C1C=CC=CC21C=NC3=CC=NN3C2=CC4N=C(C5=CC=CC=C5)[NH1]C4,0.8,,-8.445,0.9105062979471649,341.41800000000006,3.3610000000000007,1,4,2,54.57,0,0,0.13978494623655913,0.8602150537634409,2.4994006117780994,1.7579514086380048,1.3203958368936601,0.13428621256572063,8.144291575370723,True
OC1=CC=CC2=CCC=C2C=C1c1cc(F)c(O)c(F)c1,C1C=C2C=CC=C(O)C(C3=CC(F)=C(O)C(F)=C3)=CC2=C1,1.0,,-8.684,0.8067087619221094,286.277,4.322000000000002,2,2,1,40.46,0,0,0.11428571428571428,0.8857142857142857,2.8889524609379933,0.10811808006504166,1.8372596997802364,0.13428621256572063,7.790425808004126,True
CC1C=c2cc(C3C4=CN(O)N(C(N)=O)N=C4c4ccccc43)cnc2=C1,CC1C=C2N=CC(C3C4=CN(O)N(C(N)=O)N=C4C5=CC=CC=C53)=CC2=C1,1.2,,-8.803,0.7949077126819255,359.38900000000007,1.0262999999999998,2,5,1,95.05,0,0,0.16666666666666666,0.8333333333333334,3.0829134234904125,-0.07945635661413195,0.7755092344529916,0.13428621256572063,6.929022831102546,True
N#C[C@H](Cc1ccc2c(c1)OCCN2C(=O)C1CC1)NC(=O)[C@H]1N[C@@H]2CC[C@H]1C2,N#C[C@H1](CC1=CC=C2C(=C1)OCCN2C(=O)C3CC3)NC(=O)[C@H1]4N[C@@H1]5CC[C@H1]4C5,1.0,,-8.892,0.7895729373761661,394.4750000000001,1.5133799999999997,2,5,5,94.46000000000001,0,0,0.18095238095238095,0.819047619047619,3.227976664390957,-0.1642511449775605,0.48594092572737774,0.13428621256572063,6.844786215814591,True
Cc1cn(C2CCN(CC/C=C/c3ccc4ccccc4c3)CC2)c(=O)[nH]c1=O,CC1=CN(C2CCN(CC/C=C/C3=CC=C4C=CC=CC4=C3)CC2)C(=O)[NH1]C1=O,0.8,,-9.28,0.7232124456316356,389.4990000000002,3.738620000000002,1,3,5,58.1,0,0,0.19753086419753085,0.8024691358024691,3.8603871977551387,-1.2190329362735444,0.14989869091000083,0.13428621256572063,6.718783256429594,True
O=C1C=C(N2CCCCC2)N=C2C1OCN2c1ccc([C@H]2CNCCO2)cc1,O=C1C=C(N2CCCCC2)N=C3N(C4=CC=C([C@H1]5CNCCO5)C=C4)COC13,1.2,,-8.309,0.8603109784059232,382.46400000000017,1.8186999999999998,1,7,3,66.4,0,0,0.15217391304347827,0.8478260869565217,2.2777309402896218,0.9601105899742557,1.069274185334047,0.13428621256572063,6.651989762170406,False
N#Cc1ccccc1NC(=O)C=C1C=CC(CC2CC3CCC2N3)=C1,N#CC1=CC=CC=C1NC(=O)C=C2C=CC(CC3CC4CCC3N4)=C2,1.0,,-8.345,0.8306574897246014,331.41900000000004,3.449980000000002,2,3,4,64.92,0,0,0.1595744680851064,0.8404255319148937,2.3364082062718676,0.4887765313016461,0.9192665508415938,0.13428621256572063,6.148002600969836,False
O=C1O[C@]2(CC[C@H](C(=O)NCc3ccc(Cl)c(Cl)c3)CC2)c2cccnc21,O=C1O[C@]2(CC[C@H1](C(=O)NCC3=CC=C(Cl)C(Cl)=C3)CC2)C4=CC=CN=C41,0.8,,-8.676,0.7752976262768009,405.2810000000001,4.2607000000000035,1,4,3,68.29,0,0,0.2125,0.7875,2.8759130684974963,-0.3911532943869174,-0.1535224227083501,0.13428621256572063,5.274293526182586,False
CN(C)c1ccc(C#CC2=CNC3([C@@H]4CCN(C(C5CC5)C(F)(F)F)C4)N=CN=C3C2)[nH]1,CN(C)C1=CC=C(C#CC2=CNC3([C@@H1]4CCN(C(C5CC5)C(F)(F)F)C4)N=CN=C3C2)N1,0.8,,-8.525,0.7019024580470684,444.50500000000017,3.1514000000000015,2,5,4,59.019999999999996,0,0,0.13725490196078433,0.8627450980392157,2.6297945361830855,-1.5577493364394233,1.371679281829253,0.13428621256572063,5.140662124038861,False
OC1(c2ccccc2)CCN(CCc2nncn2C2CCCC2)CC1,OC1(C2=CC=CC=C2)CCN(CCC3=NN=CN3C4CCCC4)CC1,0.8,,-7.786,0.9091851787908348,340.47100000000023,2.9193000000000016,1,4,5,54.18,0,0,0.1864406779661017,0.8135593220338984,1.4252806594920269,1.7369525824750855,0.3746943438440931,0.13428621256572063,5.029351351586094,False
C=c1cc(NC(=O)c2cc[nH]c2C)ccc1=CC1=CC2C(CCC)=CC(OC)=C2CO1,CCCC1=CC(OC)=C2COC(C=C3C=CC(NC(=O)C=4C=CNC=4C)=CC3=C)=CC12,1.0,,-8.503,0.7498864537419716,416.52100000000013,3.937120000000003,2,3,6,63.35,0,0,0.18,0.8200000000000001,2.5939362069717142,-0.7950569030039779,0.5052454796424203,0.13428621256572063,4.965204096864731,False
Brc1ccccc1C=C1C=C(CNC2CCCc3ccccc32)N1,BrC1=CC=CC=C1C=C2C=C(CNC3CCCC4=CC=CC=C43)[NH1]2,0.8,,-8.204,0.7837050437745973,381.3170000000002,4.944300000000004,2,2,4,24.06,0,0,0.15873015873015872,0.8412698412698413,2.10658891450808,-0.25751970223937615,0.9363805170783314,0.13428621256572063,4.959181750137975,False
